,,,,,,,,,,,,,,,,,,1500778,1500778,1500778,1500778,1500778,1500778,1500778,1500778,1500778,1500778,1500778,1500778,1500778,1500778,1500778,1500778,1500778,1500778,1500778,1500778,1500778,1500778,1500778
,,,,,,,,,,,Tops,1732 club,,,,,,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732
,,,,,,,,,,,23,23,,,,,,Louis,Sal,Jon,Serhii,Joshua,Crimson,Ed,Vivi,Sauli,Tom G,Dolphin,Philip,Patrick,Amber,Theo,Happ,Vyrpenz,Aidan,Idan,Paulina,Ben,Michael,Al
,1732 #,,,,# of Year,,,,# of Country,,,,,,,,,🇬🇧,🇩🇪,🇪🇸,🇺🇦,🇵🇭,🇨🇦,🇵🇭,🇺🇸,🇸🇪,🇳🇱,🇩🇰,🇬🇷,🇳🇴,🇳🇱,🇨🇦,🇰🇬,🇵🇱,🇺🇸,🇮🇱,🇵🇱,🇱🇹,🇦🇺,🇩🇪
,,,#,Year,,,Country,,,,Artist,Song,Discord,Twitter,STDEV,Average,Diff.,,,,,,,,,,,,,,,,,,,,,,,
23,1,,399,1980,1,100.00%,🇳🇱,Netherlands,1,100.00%,Maggie MacNeal,Amsterdam,`01` 🇳🇱 Amsterdam,"01. 🇳🇱 Netherlands (1980)
Maggie MacNeal - Amsterdam
#ALTESC250",216.11,201.35,22,36,143,59,102,205,330,221,62,4,200,366,71,84,196,8,53,678,36,32,462,489,760,34
6,2,,1653,2021,1,100.00%,🇫🇷,France,1,100.00%,Barbara Pravi,Voilà,`02` 🇫🇷 Voilà,"02. 🇫🇷 France (2021)
Barbara Pravi - Voilà
#ALTESC250",287.45,235.30,4,6,804,18,164,93,295,51,56,438,27,46,50,80,61,277,1033,469,123,55,84,54,765,363
2,3,,710,1995,1,100.00%,🇳🇴,Norway,1,100.00%,Secret Garden,Nocturne,`03` 🇳🇴 Nocturne,"03. 🇳🇴 Norway (1995)
Secret Garden - Nocturne
#ALTESC250",326.39,236.04,-1,5,832,37,227,5,3,581,53,212,343,53,3,419,209,773,1218,245,57,63,3,4,3,81
1,4,,98,1963,1,100.00%,🇩🇰,Denmark,1,100.00%,Grethe & Jørgen Ingmann,Dansevise,`04` 🇩🇰 Dansevise,"04. 🇩🇰 Denmark (1963)
Grethe & Jørgen Ingmann - Dansevise
#ALTESC250",416.91,244.78,-3,2,792,43,91,4,26,12,126,199,19,3,83,730,51,25,1249,400,5,35,16,216,1482,21
24,5,,1665,2022,1,100.00%,🇵🇹,Portugal,1,100.00%,Maro,"Saudade, saudade","`05` 🇵🇹 Saudade, saudade","05. 🇵🇹 Portugal (2022)
Maro - Saudade, saudade
#ALTESC250",287.90,255.30,19,7,280,578,146,194,128,21,174,583,155,52,163,81,42,151,608,346,69,245,41,490,1257,61
